word,count,percentage
футболу,18304,9.14
россия,14276,7.13
аравия,11873,5.93
саудовская,11870,5.93
мира,11069,5.53
чемпионат,8243,4.12
футбол,8032,4.01
португалия,5054,2.52
испания,5016,2.51
трансляция,3817,1.91
онлайн,3758,1.88
смотреть,3277,1.64
матч,3021,1.51
расписание,2957,1.48
чемпионата,2319,1.16
россии,2216,1.11
прямая,2115,1.06
бразилия,2023,1.01
матчей,1917,0.96
швейцария,1827,0.91
прямой,1643,0.82
эфир,1588,0.79
таблица,1522,0.76
сборная,1482,0.74
футболист,1417,0.71
счет,1358,0.68
египет,1202,0.6
состав,1188,0.59
турнирная,1120,0.56
сборной,1099,0.55
уругвай,1022,0.51
сегодня,956,0.48
матча,939,0.47
футбола,778,0.39
хорватия,770,0.38
нигерия,766,0.38
сколько,745,0.37
германия,722,0.36
открытие,672,0.34
голы,633,0.32
матчи,620,0.31
видео,598,0.3
мексика,589,0.29
марокко,561,0.28
иран,544,0.27
футболе,520,0.26
играет,515,0.26
аргентина,507,0.25
сейчас,491,0.25
игры,437,0.22
канал,407,0.2
исландия,402,0.2
билеты,399,0.2
результаты,392,0.2
группы,359,0.18
купить,338,0.17
чемпионате,336,0.17
какой,335,0.17
счёт,327,0.16
открытия,326,0.16
будет,311,0.16
москве,307,0.15
обзор,306,0.15
бесплатно,303,0.15
когда,292,0.15
франция,290,0.14
википедия,282,0.14
футбольный,278,0.14
время,276,0.14
игра,266,0.13
прогноз,263,0.13
саудовской,255,0.13
билет,254,0.13
песня,251,0.13
аравии,230,0.11
австралия,226,0.11
даты,225,0.11
группа,224,0.11
дата,222,0.11
футбольных,215,0.11
список,211,0.11
футболистов,211,0.11
2014,206,0.1
испании,202,0.1
проведения,201,0.1
футболисты,193,0.1
календарь,189,0.09
какие,189,0.09
первый,189,0.09
команда,189,0.09
команды,188,0.09
фото,188,0.09
фифа,184,0.09
перу,182,0.09
играют,181,0.09
каком,177,0.09
коста,177,0.09
городам,175,0.09
2017,169,0.08
дания,168,0.08
