word,count,percentage
футболу,9464,11.19
мира,6168,7.29
чемпионат,4752,5.62
футбол,2840,3.36
расписание,2329,2.75
египет,1764,2.09
уругвай,1675,1.98
португалия,1487,1.76
аргентина,1485,1.76
матчей,1474,1.74
испания,1468,1.74
исландия,1424,1.68
германия,1403,1.66
мексика,1321,1.56
чемпионата,1199,1.42
россия,1163,1.37
таблица,1075,1.27
матч,913,1.08
турнирная,831,0.98
смотреть,826,0.98
трансляция,826,0.98
марокко,816,0.96
франция,816,0.96
иран,811,0.96
онлайн,787,0.93
австралия,763,0.9
бразилия,758,0.9
россии,678,0.8
швейцария,671,0.79
перу,633,0.75
сборная,612,0.72
дания,601,0.71
состав,503,0.59
сегодня,503,0.59
хорватия,497,0.59
нигерия,475,0.56
матчи,444,0.52
аравия,396,0.47
саудовская,395,0.47
прямая,383,0.45
счет,381,0.45
сборной,371,0.44
футболист,369,0.44
прогноз,343,0.41
сколько,326,0.39
играет,308,0.36
матча,302,0.36
прямой,281,0.33
эфир,270,0.32
результаты,262,0.31
коста,251,0.3
сербия,249,0.29
рика,249,0.29
билеты,243,0.29
игры,242,0.29
футбола,241,0.28
купить,231,0.27
группы,203,0.24
москве,170,0.2
когда,165,0.2
видео,157,0.19
канал,153,0.18
будет,150,0.18
билет,148,0.17
чемпионате,141,0.17
футбольных,138,0.16
даты,131,0.15
время,125,0.15
обзор,125,0.15
футболе,122,0.14
какой,116,0.14
проведения,112,0.13
футбольный,107,0.13
голы,106,0.13
игра,105,0.12
календарь,104,0.12
песня,100,0.12
какие,100,0.12
2014,100,0.12
фифа,99,0.12
городам,99,0.12
трансляции,98,0.12
куличках,98,0.12
2017,97,0.11
счёт,96,0.11
сейчас,92,0.11
команда,92,0.11
каком,89,0.11
санкт,88,0.1
испании,85,0.1
германии,85,0.1
екатеринбурге,85,0.1
футболистов,84,0.1
играют,84,0.1
швеция,82,0.1
самаре,81,0.1
сайт,81,0.1
официальный,81,0.1
ростове,80,0.09
команды,78,0.09
