word,count,percentage
футболу,10849,10.02
мира,7007,6.47
чемпионат,5415,5.0
футбол,4124,3.81
египет,3265,3.02
уругвай,3142,2.9
расписание,2485,2.29
аргентина,2019,1.86
трансляция,1958,1.81
германия,1951,1.8
исландия,1940,1.79
мексика,1843,1.7
онлайн,1807,1.67
смотреть,1727,1.59
матчей,1611,1.49
россия,1480,1.37
матч,1442,1.33
франция,1420,1.31
австралия,1344,1.24
чемпионата,1301,1.2
португалия,1074,0.99
испания,1072,0.99
таблица,1013,0.94
прямая,988,0.91
перу,814,0.75
марокко,808,0.75
россии,807,0.75
сборная,800,0.74
иран,792,0.73
турнирная,784,0.72
дания,768,0.71
прямой,683,0.63
эфир,657,0.61
состав,596,0.55
аравия,594,0.55
саудовская,591,0.55
футболист,525,0.48
сегодня,520,0.48
матчи,471,0.43
сборной,465,0.43
коста,425,0.39
играет,421,0.39
счет,420,0.39
рика,416,0.38
матча,408,0.38
сербия,400,0.37
сколько,384,0.35
футбола,364,0.34
билеты,361,0.33
купить,326,0.3
бразилия,316,0.29
игры,306,0.28
швейцария,264,0.24
результаты,262,0.24
футболе,245,0.23
хорватия,226,0.21
москве,222,0.21
прогноз,219,0.2
играют,217,0.2
когда,210,0.19
нигерия,205,0.19
канал,201,0.19
будет,201,0.19
видео,192,0.18
группы,180,0.17
сейчас,177,0.16
футбольных,174,0.16
билет,172,0.16
чемпионате,169,0.16
екатеринбурге,168,0.16
футбольный,163,0.15
фифа,162,0.15
какие,158,0.15
игра,158,0.15
бесплатно,158,0.15
городам,158,0.15
даты,149,0.14
германии,147,0.14
каком,143,0.13
трансляции,142,0.13
время,139,0.13
голы,134,0.12
какой,134,0.12
2014,128,0.12
команда,127,0.12
проведения,125,0.12
2017,122,0.11
песня,121,0.11
команды,120,0.11
футболистов,118,0.11
обзор,118,0.11
сайт,116,0.11
самаре,114,0.11
официальный,113,0.1
футбольные,111,0.1
список,108,0.1
календарь,103,0.1
испании,103,0.1
куличках,103,0.1
футболка,99,0.09
